Fecha:,Velocidad del viento (Km/h)
2018-07-17 00:45:01,0
2018-07-17 01:15:03,0
2018-07-17 01:44:58,7.461139896
2018-07-17 02:15:04,0
2018-07-17 02:45:02,0
2018-07-17 03:15:04,0
2018-07-17 03:45:02,0
2018-07-17 04:15:18,0
2018-07-17 04:45:04,0
2018-07-17 05:15:03,0
2018-07-17 05:45:06,0
2018-07-17 06:15:05,0
2018-07-17 06:45:03,0
2018-07-17 07:15:02,0
2018-07-17 07:45:01,1.10514198
2018-07-17 08:14:58,1.374045802
2018-07-17 08:44:58,1.181296144
2018-07-17 09:14:59,2.215384615
2018-07-17 09:45:03,0
2018-07-17 10:14:59,1.533546326
2018-07-17 10:45:02,0
2018-07-17 11:15:05,18.7012987
2018-07-17 11:45:00,1.038211968
2018-07-17 12:15:03,0
2018-07-17 12:44:59,0
2018-07-17 13:15:05,1.568627451
2018-07-17 13:45:01,3.37236534
2018-07-17 14:15:04,0
2018-07-17 14:45:03,1.136543015
2018-07-17 15:15:01,1.113689095
2018-07-17 15:45:01,0
2018-07-17 16:15:01,0
2018-07-17 16:45:01,0
2018-07-17 17:15:01,0
2018-07-17 17:44:58,2.424242424
2018-07-17 18:14:59,2.424242424
2018-07-17 18:44:59,1.073825503
2018-07-17 19:14:58,1.41453831
2018-07-17 19:44:59,2.260596546
2018-07-17 20:15:00,1.085154484
2018-07-17 20:44:59,0
2018-07-17 21:16:53,5.853658537
2018-07-17 21:45:03,4.931506849
2018-07-17 22:15:01,5.691699605
2018-07-17 22:45:01,2.019635344
2018-07-17 23:15:05,1.67636787
2018-07-17 23:45:00,0
2018-07-18 00:15:01,1.01910828
2018-07-18 00:45:01,3.388235294
2018-07-18 01:15:02,0
2018-07-18 01:45:03,0
2018-07-18 02:15:02,0
2018-07-18 02:45:01,0
2018-07-18 03:15:02,0
2018-07-18 03:45:02,0
2018-07-18 04:15:02,0
2018-07-18 04:45:02,0
2018-07-18 05:15:02,0
2018-07-18 05:45:04,0
2018-07-18 06:15:05,0
2018-07-18 06:45:00,1.12412178
2018-07-18 07:14:59,0
2018-07-18 07:45:02,1.387283237
2018-07-18 08:15:01,0
2018-07-18 08:45:04,0
2018-07-18 09:15:01,1.024182077
2018-07-18 09:45:02,1.072226359
2018-07-18 10:15:03,0
2018-07-18 10:45:02,0
2018-07-18 11:15:02,0
2018-07-18 11:44:59,2.585278276
2018-07-18 12:15:00,1.917443409
2018-07-18 12:44:59,1.658986175
2018-07-18 13:15:01,0
2018-07-18 13:45:00,4.126074499
2018-07-18 14:15:04,0
2018-07-18 14:45:06,0
2018-07-18 15:15:04,2.337662338
2018-07-18 15:45:01,2.337662338
2018-07-18 16:15:03,0
2018-07-18 16:45:02,0
2018-07-18 17:14:57,1.92513369
2018-07-18 17:44:58,1.127642913
2018-07-18 18:14:59,6.79245283
2018-07-18 18:44:58,1.32474701
2018-07-18 19:15:02,0
2018-07-18 19:45:01,2.56684492
2018-07-18 20:15:05,0
2018-07-18 20:45:03,0
2018-07-18 21:15:03,0
2018-07-18 21:45:02,1.309090909
2018-07-18 22:15:00,1.653272101
2018-07-18 22:45:03,0
2018-07-18 23:15:05,0
2018-07-18 23:45:05,0
2018-07-19 00:15:04,0
2018-07-19 00:45:01,0
2018-07-19 01:14:58,5.829959514
2018-07-19 01:45:01,0
2018-07-19 02:15:01,0
2018-07-19 02:45:00,0
2018-07-19 03:15:01,0
2018-07-19 03:45:02,0
2018-07-19 04:15:02,0
2018-07-19 04:45:02,0
2018-07-19 05:15:03,0
2018-07-19 05:45:02,0
2018-07-19 06:15:02,3.083511777
2018-07-19 06:45:02,0
2018-07-19 07:15:02,0
2018-07-19 07:45:05,0
2018-07-19 08:14:59,1.6
2018-07-19 08:45:03,0
2018-07-19 09:15:03,2.432432432
2018-07-19 09:45:05,0
2018-07-19 10:15:04,57.6
2018-07-19 10:45:04,0
2018-07-19 11:15:04,0
2018-07-19 11:45:00,1.255448997
2018-07-19 12:15:04,0
2018-07-19 12:45:22,0
2018-07-19 13:15:09,3.280182232
2018-07-19 13:45:06,30
2018-07-19 14:15:02,0
2018-07-19 14:45:04,0
2018-07-19 15:15:00,0
2018-07-19 15:45:02,0
2018-07-19 16:14:58,2.613430127
2018-07-19 16:44:58,2.969072165
2018-07-19 17:14:59,1.493775934
2018-07-19 17:44:58,2.448979592
2018-07-19 18:15:03,1.246753247
2018-07-19 18:45:05,0
2018-07-19 19:15:03,0
2018-07-19 19:45:00,5.475285171
2018-07-19 20:15:03,0
2018-07-19 20:45:06,0
2018-07-19 21:15:01,0
2018-07-19 21:45:02,0
2018-07-19 22:15:01,1.100917431
2018-07-19 22:45:01,0
2018-07-19 23:14:59,1.059602649
2018-07-19 23:45:02,0
2018-07-20 00:14:59,1.011946592
2018-07-20 00:44:57,1.486068111
2018-07-20 01:15:02,0
2018-07-20 01:45:02,0
2018-07-20 02:15:01,0
2018-07-20 02:45:03,0
2018-07-20 03:14:59,3.420427553
2018-07-20 03:45:03,0
2018-07-20 04:14:59,0
2018-07-20 04:45:01,1.278863233
2018-07-20 05:15:01,0
2018-07-20 05:45:01,0
2018-07-20 06:15:02,0
2018-07-20 06:45:02,0
2018-07-20 07:15:02,0
2018-07-20 07:45:02,0
2018-07-20 08:15:04,0
2018-07-20 08:45:02,0
2018-07-20 09:14:58,1.483007209
2018-07-20 09:45:02,0
2018-07-20 10:15:03,0
2018-07-20 10:45:06,0
2018-07-20 11:15:04,1.696113074
2018-07-20 11:45:03,0
2018-07-20 12:15:39,1.034482759
2018-07-20 12:45:04,0
2018-07-20 13:15:04,4.571428571
2018-07-20 13:45:01,1.582417582
2018-07-20 14:15:04,1.764705882
2018-07-20 14:45:18,1.187139324
2018-07-20 15:15:05,1.022001419
2018-07-20 15:45:02,1.964529332
2018-07-20 16:15:01,7.164179104
2018-07-20 16:44:58,2.065997131
2018-07-20 17:14:59,2.356792144
2018-07-20 17:44:58,2.146050671
2018-07-20 18:15:03,23.60655738
2018-07-20 18:45:04,0
2018-07-20 19:14:59,4.5
2018-07-20 19:45:03,0
2018-07-20 20:15:03,0
2018-07-20 20:45:03,0
2018-07-20 21:15:09,0
2018-07-20 21:45:05,0
2018-07-20 22:15:03,0
2018-07-20 22:45:03,2.260596546
2018-07-20 23:15:04,1.578947368
2018-07-20 23:45:01,1.523809524
2018-07-21 00:15:00,0
2018-07-21 00:45:01,1.332099907
2018-07-21 01:15:02,0
2018-07-21 01:45:02,0
